model, name, usd price
iPhone, Apple iPhone 13 Pro Max , 1099.0
moto g9 plus, Motorola Moto G9 Plus , 219.99
Samsung SM-J600G, Samsung Galaxy J6 , 209.08
FRL-L23, Huawei Y9a , 232.32
M2101K7AG, Xiaomi Redmi Note 10 , 189.99
Samsung SM-N985F, Samsung Galaxy Note20 Ultra , 1000.95
Samsung SM-G9600, Samsung Galaxy S9 , 429.78
Huawei HMA-L09, Huawei Mate 20 , 625.0
Lenovo PB-6505Y, Lenovo Tab K10, 197.47
Huawei MYA-L13, Huawei Y5 (2017) , 139.39
XiaoMi Redmi Note 9S, Xiaomi Redmi Note 9S , 199.99
M2003J15SC, Xiaomi Redmi Note 9 , 169.0
Huawei JKM-LX3, Huawei Y9 (2019) , 138.0
ZTE Blade A5 2019, ZTE Blade A5 (2019) , 92.93
Huawei ELE-L04, Huawei P30 , 781.76
Huawei YAL-L21, Huawei nova 5T , 394.94
XiaoMi Redmi Note 9 Pro, Xiaomi Redmi Note 9 Pro , 244.99
MAR-LX3A, Huawei P30 lite , 153.0
Samsung SM-A515F, Samsung Galaxy A51 , 196.22
Huawei JSN-L23, Huawei P50 Pro , 1299.99
M2004J19C, Xiaomi Redmi 9 , 129.99
Huawei STK-LX3, Huawei Y9 Prime (2019) , 255.55
XiaoMi Redmi Note 7, Xiaomi Redmi Note 7 , 197.47
moto g8 power lite, Motorola Moto G8 Power Lite , 167.99
motorola one fusion , Motorola One Fusion , 149.99
moto e6 play, Motorola Moto E6 Play , 185.85
Samsung SM-A205G, Samsung Galaxy A20 , 106.27
Samsung SM-G570M, Samsung Galaxy J5 Prime , 139.39
VS995, LG V20 , 220.7
STK-LX3, Huawei Y9 Prime (2019) , 255.55
Oppo CPH2185, Oppo A15 , 138.23
LM-X525, LG Q60 , 267.16
M2006C3LG, Xiaomi Redmi 9A , 124.06
Samsung SM-G610M, Samsung Galaxy J7 Prime , 243.93
Mac, Motorola One Macro , 278.78
